Years Experience,Employed?,Previous employers,Level of Education,Top-tier school,Interned,Hired
27,Y,8,PhD,Y,Y,N
4,Y,9,PhD,N,N,Y
16,Y,10,BS,N,Y,N
25,Y,5,BS,N,Y,N
8,Y,7,PhD,N,N,N
7,Y,7,BS,Y,N,N
29,N,5,BS,N,Y,N
15,Y,3,PhD,Y,N,N
27,Y,3,MS,Y,Y,Y
19,Y,4,BS,Y,N,N
9,N,5,PhD,Y,Y,Y
11,Y,3,PhD,N,Y,Y
1,N,7,PhD,N,N,Y
8,Y,7,MS,Y,Y,Y
12,N,1,BS,Y,N,N
20,Y,4,PhD,N,Y,Y
11,N,10,PhD,N,N,N
18,Y,2,PhD,N,Y,N
6,N,6,PhD,N,Y,Y
9,Y,9,MS,Y,Y,Y
5,N,5,BS,N,N,N
20,Y,7,MS,N,N,N
8,Y,6,PhD,N,N,N
23,Y,10,BS,N,N,N
17,Y,8,MS,N,Y,N
20,Y,10,MS,N,Y,N
8,N,0,PhD,Y,Y,N
16,Y,0,BS,Y,Y,N
13,N,2,PhD,Y,N,Y
5,N,2,PhD,N,Y,N
12,N,1,PhD,Y,N,Y
22,Y,8,PhD,Y,Y,Y
25,N,7,BS,N,Y,N
28,N,8,PhD,N,Y,N
5,N,10,BS,N,Y,N
28,N,10,PhD,N,N,N
18,Y,9,MS,N,N,N
21,N,4,BS,N,Y,N
9,Y,9,PhD,Y,Y,Y
23,Y,2,BS,N,Y,N
11,Y,9,PhD,N,N,Y
29,N,7,MS,Y,Y,N
2,Y,10,MS,Y,N,N
24,Y,8,BS,Y,Y,N
1,Y,3,MS,N,Y,N
19,Y,1,MS,N,N,N
28,N,2,BS,N,Y,N
14,Y,1,BS,Y,Y,N
27,N,3,BS,N,N,N
27,N,9,PhD,N,Y,Y
9,Y,9,BS,N,Y,N
3,N,10,PhD,N,N,Y
9,Y,7,BS,N,Y,N
24,Y,2,BS,Y,N,N
3,N,10,MS,N,Y,Y
15,Y,9,PhD,N,Y,Y
18,Y,9,MS,Y,Y,Y
13,Y,5,MS,Y,Y,Y
8,Y,2,PhD,Y,N,N
11,N,3,BS,Y,Y,N
1,Y,1,PhD,Y,Y,N
29,Y,9,MS,Y,N,Y
6,N,5,BS,Y,Y,N
24,N,9,BS,N,Y,N
19,Y,8,BS,Y,Y,N
23,Y,2,BS,Y,Y,N
8,Y,1,PhD,Y,N,N
25,N,6,PhD,N,Y,Y
26,Y,7,PhD,Y,N,N
7,N,4,BS,Y,Y,N
20,Y,10,MS,Y,Y,N
0,N,6,MS,N,N,N
4,N,1,MS,N,Y,Y
29,N,4,MS,Y,Y,N
27,Y,4,BS,N,Y,N
2,Y,2,PhD,N,N,Y
14,Y,4,PhD,Y,N,N
25,N,1,MS,N,Y,N
15,Y,0,BS,N,Y,N
8,Y,8,PhD,Y,N,Y
13,Y,6,MS,N,Y,N
19,N,5,BS,N,N,N
24,N,3,BS,N,Y,N
11,Y,7,BS,N,N,N
21,Y,0,PhD,N,Y,Y
16,N,1,MS,N,Y,N
11,N,1,MS,Y,N,N
18,Y,5,PhD,Y,Y,Y
5,Y,8,MS,Y,N,Y
0,Y,5,PhD,N,Y,Y
13,Y,10,MS,N,Y,N
17,N,4,PhD,Y,Y,Y
8,Y,8,PhD,Y,Y,Y
1,Y,4,MS,N,N,N
10,Y,0,BS,N,N,N
23,Y,7,PhD,N,Y,Y
5,N,6,PhD,N,Y,Y
20,Y,4,PhD,N,N,Y
26,N,9,MS,N,N,N
27,Y,6,MS,Y,Y,Y
5,Y,1,BS,N,N,N
28,N,7,BS,Y,Y,N
17,Y,1,PhD,Y,Y,Y
14,N,9,MS,N,N,Y
13,N,6,BS,Y,Y,N
29,N,5,BS,Y,N,N
16,Y,7,PhD,N,N,Y
27,Y,2,MS,N,Y,N
13,Y,2,MS,Y,Y,Y
30,N,10,MS,Y,Y,Y
13,Y,2,BS,N,Y,N
25,N,4,MS,Y,N,N
19,N,2,MS,Y,Y,Y
15,N,7,BS,Y,N,N
23,Y,8,BS,Y,N,N
28,Y,0,MS,N,N,Y
2,N,10,MS,N,N,N
24,N,1,BS,Y,N,N
9,N,6,MS,N,N,N
15,N,3,BS,Y,N,N
23,Y,6,MS,Y,N,N
30,N,3,PhD,N,Y,Y
0,N,2,MS,Y,Y,N
6,N,2,BS,N,Y,N
0,N,7,MS,Y,N,N
15,N,2,PhD,N,Y,N
24,N,1,BS,N,Y,N
8,Y,5,BS,Y,N,N
24,Y,5,BS,Y,Y,N
2,Y,2,PhD,N,Y,N
29,N,4,MS,Y,N,Y
6,N,5,MS,Y,Y,Y
0,Y,3,PhD,Y,Y,Y
4,Y,0,PhD,Y,Y,N
22,N,8,BS,N,N,N
13,N,7,BS,N,Y,N
0,Y,5,PhD,Y,N,N
20,Y,2,PhD,N,Y,N
12,Y,0,PhD,N,Y,Y
28,N,1,BS,Y,Y,N
25,Y,8,BS,Y,N,N
8,N,8,BS,Y,N,N
15,Y,3,PhD,N,Y,N
3,Y,7,MS,N,Y,Y
18,N,3,MS,Y,Y,Y
11,Y,5,PhD,N,Y,Y
19,N,3,PhD,Y,N,N
30,Y,3,MS,N,N,Y
6,Y,7,PhD,N,N,N
14,N,3,MS,Y,N,N
4,Y,6,BS,N,N,N
17,Y,3,PhD,Y,Y,N
10,N,5,MS,N,N,N
24,Y,3,BS,Y,Y,N
10,N,8,PhD,N,N,N
1,N,0,PhD,Y,N,N
18,N,10,BS,Y,N,N
25,N,7,BS,Y,Y,N
14,Y,8,PhD,N,Y,N
20,Y,10,BS,Y,Y,N
0,N,10,MS,Y,N,N
4,N,2,PhD,Y,Y,Y
15,Y,8,MS,Y,N,N
3,N,7,MS,N,Y,Y
27,Y,7,PhD,Y,N,Y
23,Y,5,PhD,N,Y,Y
9,N,3,BS,Y,N,N
29,N,10,MS,Y,Y,N
5,Y,6,PhD,N,Y,Y
19,N,10,MS,Y,Y,N
28,N,7,MS,N,N,N
25,N,9,MS,Y,N,Y
29,N,6,BS,Y,N,N
22,Y,9,BS,N,N,N
19,Y,8,PhD,Y,N,N
8,Y,10,MS,Y,Y,N
11,N,7,MS,N,N,N
17,Y,3,PhD,Y,N,Y
13,Y,10,PhD,Y,N,N
17,N,10,BS,N,N,N
22,Y,8,PhD,Y,Y,Y
6,Y,8,PhD,Y,Y,N
15,N,7,BS,Y,Y,N
15,Y,9,PhD,Y,Y,N
13,Y,6,PhD,Y,Y,N
29,N,9,BS,Y,Y,N
5,N,9,BS,N,Y,N
2,N,5,MS,Y,Y,N
3,N,8,PhD,N,N,Y
10,N,10,BS,Y,Y,N
24,N,3,MS,N,N,Y
0,Y,7,MS,N,N,N
